group_key,action,file,reason
2023::investment inflation and the role of internal information systems as a transmission channel::pdf,KEEP,"2023 - Binz, Ferracuti, Joos - Journal of Accounting and Economics - Investment, Inflation, and the Role of Internal Information Systems as a Transmission Channel 2.pdf",largest at 846837 B
2023::investment inflation and the role of internal information systems as a transmission channel::pdf,MOVE,"2023 - Binz, Ferracuti, Joos - Journal of Accounting and Economics - Investment, Inflation, and the Role of Internal Information Systems as a Transmission Channel.pdf",redundant copy (846837 B)
2023::investment inflation and the role of internal information systems as a transmission channel::txt,KEEP,"2023 - Binz, Ferracuti, Joos - Journal of Accounting and Economics - Investment, Inflation, and the Role of Internal Information Systems as a Transmission Channel 2.txt",largest at 186717 B
2023::investment inflation and the role of internal information systems as a transmission channel::txt,MOVE,"2023 - Binz, Ferracuti, Joos - Journal of Accounting and Economics - Investment, Inflation, and the Role of Internal Information Systems as a Transmission Channel.txt",redundant copy (186717 B)
2023::technological peer pressure and skill specificity of job postings::pdf,KEEP,"2023 - Cao, Cheng, Tucker, Wan - Contemporary Accounting Research - Technological Peer Pressure and Skill Specificity of Job Postings_1.pdf",largest at 2566042 B
2023::technological peer pressure and skill specificity of job postings::pdf,MOVE,"2023 - Cao, Cheng, Tucker, Wan - Contemporary Accounting Research - Technological peer pressure and skill specificity of job postings.pdf",redundant copy (1106689 B)
2023::technological peer pressure and skill specificity of job postings::txt,KEEP,"2023 - Cao, Cheng, Tucker, Wan - Contemporary Accounting Research - Technological peer pressure and skill specificity of job postings.txt",largest at 180454 B
2023::technological peer pressure and skill specificity of job postings::txt,MOVE,"2023 - Cao, Cheng, Tucker, Wan - Contemporary Accounting Research - Technological Peer Pressure and Skill Specificity of Job Postings_1.txt",redundant copy (179540 B)
2023::partisanship in loan pricing::pdf,KEEP,"2023 - Dagostino, Gao, Ma - Journal of Financial Economics - Partisanship in Loan Pricing 2.pdf",largest at 1095629 B
2023::partisanship in loan pricing::pdf,MOVE,"2023 - Dagostino, Gao, Ma - Journal of Financial Economics - Partisanship in Loan Pricing.pdf",redundant copy (1095629 B)
2023::partisanship in loan pricing::txt,KEEP,"2023 - Dagostino, Gao, Ma - Journal of Financial Economics - Partisanship in Loan Pricing 2.txt",largest at 194634 B
