item_key,year,authors,title,type,has_pdf,subfield,source_collection,paper_match,paper_filename,paper_journal,paper_tier,date,tags_count
ZNCEEGBN,2026,"Khurana, Inder K.; Li, Bing; Yeung, Kelvin; Yu, Elisha J.",Audit partners' cultural trust and audit outcomes,journalArticle,True,audit,both,none,,,,2026-02-09,3
56FQTCPN,2026,,Carbon accounting quality: Measurement and the role of assurance,,True,esg_csr,english,none,,,,2026-04-01,0
HCRTQM5R,2026,,Do Consulting Services Affect Audit Quality? Evidence from the Workforce,,True,audit,english,none,,,,2026-02-03,0
FMU6MP6Z,2026,"Zhi, Weijia",Do Nature-Loving CEOs Make the World Greener?,journalArticle,True,governance_comp,both,none,,,,2026,0
T3HJI3TA,2026,"Sharma, Divesh S.; Wu, Liansheng; Xing, Qiuhang",Do School Alma Mater Ties Between Engagement and Review Partners Threaten Audit Firm Quality Control? Evidence from Audit Adjustments,journalArticle,True,audit,both,none,,,,2026-03-19,0
QEHHIBR4,2026,,Do auditors understand the implications of ESG issues for their audits? Evidence from financially material negative ESG incidents,,False,audit,english,none,,,,2026-04-01,0
TJFEXHVV,2026,,Principal-versus-Agent Considerations in Revenue Recognition Under ASC 606 and Compliance Risk,,True,unknown,english,none,,,,2026-02-16,0
ZQAJHHFL,2026,,Social media livestreaming: Investor information or persuasion?,,True,unknown,english,none,,,,2026-05-01,0
IJUB8TUY,2026,"DeFond, Mark; Hung, Mingyi; Wang, Emily Jing",The Impact of Mandatory Sustainability Reporting on Institutional Investment: The Role of Reporting Location,journalArticle,False,esg_csr,integrity_propaganda_audit,none,,,,2026-01-01,0
3JNFHBRW,2026,"He, Xianjie; Pittman, Jeffrey; Sun, Shuwei; Zhuang, Zili",The Importance of Conscientiousness to Audit Quality: Engagement Partner Graduate Thesis Typos and Audit Adjustments,journalArticle,True,audit,both,none,,,,2026-02-23,0
5EWWHU8J,2026,,The spillover effect of public firm audit regulation on private firm auditing: Evidence from common partners,,True,audit,english,none,,,,2026-05-01,0
VLYQWILI,2026,,Trying to Get Out from under Water: Paradox and Power in the Audit Senior Associate Role,,True,audit,english,none,,,,2026-02-05,0
MTLUEYUH,2026,,With a Grain of Salt: Investor Reactions to Uncertain News and (Non)disclosure,,True,disclosure,english,none,,,,2026-02-01,0
95FMIJN3,2025,"Lennox, Clive S.; Li, Chan; Wang, Yiqian",A survey of the archival audit literature,preprint,True,audit,integrity_propaganda_audit,none,,,,2025-08-01,3
VETNZ5TG,2025,,ACO Investment Model,,False,healthcare,english,none,,,,2025,0
AX2IKI76,2025,,Accountable Care Organizations (ACOs): General Information,,False,healthcare,english,none,,,,2025,0
DZDLQNAC,2025,,Advance Payment ACO Model,,False,healthcare,english,none,,,,2025,0
T8FVQLX8,2025,"Lennox, Clive; Li, Bing; Qu, Jinxing",Are Auditor Reputations Affected by Private Communication Channels?,journalArticle,True,audit,integrity_propaganda_audit,none,,,,2025-07-01,7
BNLNI78X,2025,"Defond, Mark; Zhang, Jieying",Audit failures: why they occur and some suggestions for reducing them,journalArticle,True,audit,integrity_propaganda_audit,none,,,,2025-07-29,6
BMNJZEW5,2025,"Amin, Keval; Berglund, Nathan R.; Eshleman, John Daniel; Lawson, Bradley P.","Audit partner facial structure, audit pricing, and audit quality",journalArticle,True,audit,both,none,,,,2025-11-27,0
5VN9C7MC,2025,"Ham, Charles; Hann, Rebecca N.; Rabier, MaryJane; Wang, Wenfeng",Auditor Skill Demands and Audit Quality: Evidence from Job Postings,journalArticle,True,audit,both,none,,,,2025-07-01,0
Q44E9K6J,2025,"Clifford, Christopher P; Ellis, Jesse A; Gerken, William C",Childhood Exposure to Misbehavior and the Culture of Financial Misconduct,journalArticle,True,fraud_enforcement,both,none,,,,2025-09-29,0
5IHSLYWM,2025,,"Client Restatement Announcement, Audit Office Human Capital Investment, and Audit Quality Improvements",,False,audit,english,none,,,,2025,0
U3JXDLFB,2025,,Do major corporate customers deter supplier misconduct?,,False,fraud_enforcement,english,none,,,,2025-11-01,0
M9W9KIBE,2025,"DeFond, Mark; Qi, Baolei; Si, Yi; Zhang, Jieying",Do signatory auditors with tax expertise facilitate or curb tax aggressiveness?,journalArticle,True,audit,integrity_propaganda_audit,none,,,,2025-02-01,4
P5XC9R6D,2025,"Aobdia, Daniel; Dong, Ting; Nilsson, Henrik; Zhu, Liwei",Does Personality Similarity Influence the Formation of Auditor-in-Charge-Client Relationships and Audit Quality? Evidence from Swedish Military Conscription Data,journalArticle,True,audit,integrity_propaganda_audit,none,,,,2025,0
AYQJHX38,2025,,Does generative AI facilitate investor Trading? Early evidence from ChatGPT outages,,True,investors_capmkt,english,none,,,,2025-11-01,0
KIESUW67,2025,"Ru, Hong; Yang, Endong; Zou, Kunru",Early-life experience and CEOs' reactions to COVID-19,journalArticle,True,governance_comp,both,none,,,,2025-02-01,0
YH3ZBC5N,2025,,How does artificial intelligence shape audit firms?,,False,audit,english,none,,,,2025,0
FC9HPII4,2025,,Litigation Risk and Key Audit Matter Disclosures: Evidence From a Quasi-Natural Experiment in China,,False,audit,english,none,,,,2025,0
4NIHG5E9,2025,,Next Generation ACO Model,,False,healthcare,english,none,,,,2025,0
88G28C98,2025,"Jiang, John Xuefeng; He, Shaohua; Wang, K. Philip",Partner wealth and audit quality: evidence from the United States,journalArticle,True,audit,both,none,,,,2025-03-01,6
G4UATJJU,2025,,Private equity in the hospital industry,,False,healthcare,english,none,,,,2025,0
NBNY96VB,2025,"Hayes, Rachel M.; Jiang, Feng; Pan, Yihui; Tang, Huayi",Racial Disparities in Financial Complaints and the Role of Corporate Social Attitudes,journalArticle,True,unknown,both,none,,,,2025,0
E3L8ZTMP,2025,,Report to the Congress: Medicare Payment Policy,,False,healthcare,english,none,,,,2025-03,0
5ZE69R95,2025,"Cong, Lin William; Liang, Tengyuan; Zhang, Xiao; Zhu, Wu","Textual Factors: A Scalable, Interpretable, and Data-Driven Approach to Analyzing Unstructured Information",journalArticle,True,unknown,integrity_propaganda_audit,none,,,,2025-12,0
G2Y5LBEC,2025,,Vermont All-Payer ACO Model,,False,healthcare,english,none,,,,2025,0
BSYVDA4W,2025,,Women in charge: Evidence from hospitals,,False,healthcare,english,none,,,,2025,0
YIQHRE4J,2024,"Gul, Ferdinand A; Lin, Bin; Yang, Zhifeng; Zhang, Min; Zhu, Haoran","Accounting personnel quality, audit risk, and auditor responses",journalArticle,False,audit,integrity_propaganda_audit,none,,,,2024,0
M7UUVRND,2024,"Huang, Allen H.; Pacelli, Joseph; Shi, Terrence Tianshuo; Zou, Yuan",Communicating Corporate Culture in Labor Markets: Evidence from Job Postings,manuscript,True,culture_propaganda,integrity_propaganda_audit,none,,,,2024,0
TTV5YLGB,2024,"Qian, Ruoyu",Communist propaganda and women's status,journalArticle,True,culture_propaganda,both,none,,,,10/2024,0
KGNKDT2G,2024,"DeFond, Mark; Li, Zengquan; Wong, T. J.; Wu, Kaiwen",Competence vs. Independence: Auditors' connections with members of their clients' business community,journalArticle,True,audit,both,none,,,,2024-08-01,0
BJXY2ICZ,2024,"Gu, Zhihui; Sun, Wei; Zhou, Frank S.",Cultural Origin and Minority Shareholder Expropriation: Historical Evidence,journalArticle,True,governance_comp,integrity_propaganda_audit,none,,,,2024,8
PH3E8UDW,2024,"Raghunandan, Aneesh",Government Subsidies and Corporate Misconduct,journalArticle,True,fraud_enforcement,both,exact_year_title,2024 - Raghunandan - Government Subsidies and Corporate Misconduct.pdf,unknown,unknown,2024,0
XNZYHYFJ,2024,,It's a matter of style: The role of audit firms and audit partners in key audit matter reporting,,False,audit,english,none,,,,2024,0
BFI9XN7A,2024,,"Mortgage Lock-In, Mobility, and Labor Reallocation",,False,unknown,english,none,,,,2024,0
M2L2YCMK,2024,,Public environmental enforcement and private lender monitoring: Evidence from environmental covenants,,False,debt_capital_structure,english,prefix_year_title,"2024 - Choy, Jiang, Liao, Wang - Journal of Accounting and Economics - Public Environmental Enforcement and Private Lender Monitoring Evidence from Environmental Covenant.pdf",Journal of Accounting and Economics,top_acct,2024,0
ZGZ92GFY,2024,"Lins, Karl V.; Roth, Lukas; Servaes, Henri; Tamayo, Ane","Sexism, Culture, and Firm Value: Evidence from the Harvey Weinstein Scandal and the #MeToo Movement",journalArticle,True,culture_propaganda,both,exact_year_title,"2024 - Lins, Roth, Servaes, Tamayo - Journal of Accounting Research - Sexism, Culture, and Firm Value Evidence from the Harvey Weinstein Scandal and the #MeToo Movement.pdf",Journal of Accounting Research,top_acct,2024,0
MCPLQJVL,2024,"Dou, Huan; Khoo, Eunice S; Tan, Weiqiang; Zhang, Janus Jian","Superstition, risk aversion, and audit quality: evidence from China",journalArticle,False,audit,integrity_propaganda_audit,none,,,,2024,0
LBZBF5DX,2024,"Kowaleski, Zachary T.; Sutherland, Andrew G.; Vetter, Felix W.",The Effect of Supervisors on Employee Misconduct,journalArticle,False,fraud_enforcement,integrity_propaganda_audit,none,,,,2024,0
Z9VE9MEZ,2024,,The Effects of Mandatory ESG Disclosure Around the World,,True,disclosure,english,exact_year_title,"2024 - Krueger, Sautner, Tang, Zhong - Journal of Accounting Research - The Effects of Mandatory ESG Disclosure Around the World.pdf",Journal of Accounting Research,top_acct,2024,0
7VNEUMSL,2024,"Lin, Yupeng; Shi, Rui; Yuan, Yannis; Zuo, Luo",The economics of auditing in China,bookSection,True,audit,both,none,,,,2024,0
469QMYS3,2024,"Breuer, Matthias; Dehaan, Ed",Using and Interpreting Fixed Effects Models,journalArticle,True,methodology,both,exact_year_title,"2024 - Breuer, Dehaan - Journal of Accounting Research - Using and Interpreting Fixed Effects Models.pdf",Journal of Accounting Research,top_acct,2024,3
VBKMFV6B,2023,,Do internal control weaknesses affect firms' demand for accounting skills? Evidence from US job postings,,False,audit,english,none,,,,2023,0
U7MPDUKU,2023,,Does the accountant shortage impair efficient resource allocation?,,False,unknown,english,none,,,,2023,0
6AZPYCKB,2023,,Fragmented care and chronic illness patient outcomes: A systematic review,,False,healthcare,english,none,,,,2023,0
S686I7ST,2023,"Pittman, Jeffrey; Stein, Sarah E; Valentine, Delia F",The importance of audit partners' risk tolerance to audit quality,journalArticle,False,audit,both,none,,,,2023,0
EZW7DXS9,2022,"Lennox, Clive; Wu, Joanna Shuang",A review of China-related accounting research in the past 25 years,journalArticle,True,unknown,both,exact_year_title,"2022 - Lennox, Wu - Journal of Accounting and Economics - A Review of China-Related Accounting Research in the Past 25 Years.pdf",Journal of Accounting and Economics,top_acct,11/2022,0
